Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8069510980XE,Intel,Core i9-10980XE,133,84.2,4959,https://cpu.userbenchmark.com/SpeedTest/935899/IntelR-CoreTM-i9-10980XE-CPU---300GHz
CPU,BX80677I57640X,Intel,Core i5-7640X,134,84.1,2123,https://cpu.userbenchmark.com/SpeedTest/310543/IntelR-CoreTM-i5-7640X-CPU---400GHz
CPU,100-100000022BOX,AMD,Ryzen 5 3600X,135,84.1,294959,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600X/Rating/4041
CPU,BX80677I77700K,Intel,Core i7-7700K,136,84,634862,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,BX80673I99900X,Intel,Core i9-9900X,137,83.7,3521,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80671I76850K,Intel,Core i7-6850K,138,83.6,29279,https://cpu.userbenchmark.com/Intel-Core-i7-6850K/Rating/3606
CPU,BX80673I97940X,Intel,Core i9-7940X,139,83.3,4560,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I97960X,Intel,Core i9-7960X,140,83.2,2322,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz
CPU,100-100000031BOX,AMD,Ryzen 5 3600,141,83.1,1072639,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040
CPU,BX80673I99980X,Intel,Core i9-9980XE,142,83,2201,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,BX80673I79800X,Intel,Core i7-9800X,143,82.9,4003,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,CM8068403358708,Intel,Core i5-8600T,144,82.2,375,https://cpu.userbenchmark.com/SpeedTest/506080/IntelR-CoreTM-i5-8600T-CPU---230GHz
CPU,BX80684I58500,Intel,Core i5-8500,145,82.1,43089,https://cpu.userbenchmark.com/SpeedTest/447884/IntelR-CoreTM-i5-8500-CPU---300GHz
CPU,,Intel,Xeon E3-1270 v6,146,81.9,593,https://cpu.userbenchmark.com/SpeedTest/278175/IntelR-XeonR-CPU-E3-1270-v6---380GHz
CPU,BX80673I97900X,Intel,Core i9-7900X,147,81.9,19432,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80673I99820X,Intel,Core i9-9820X,148,81.9,2515,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,,Intel,Core i9-9980HK,149,81.8,8965,https://cpu.userbenchmark.com/SpeedTest/797907/IntelR-CoreTM-i9-9980HK-CPU---240GHz
CPU,BX80684I58400,Intel,Core i5-8400,150,81.8,312220,https://cpu.userbenchmark.com/Intel-Core-i5-8400/Rating/3939
CPU,BX8070110105F,Intel,Core i3-10105F,151,81.7,11673,https://cpu.userbenchmark.com/SpeedTest/1482345/IntelR-CoreTM-i3-10105F-CPU---370GHz
CPU,100-1000000158,AMD,Ryzen 5 3500X,152,81.7,33544,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500X/Rating/4052
CPU,BX80684I38350K,Intel,Core i3-8350K,153,81.7,23493,https://cpu.userbenchmark.com/Intel-Core-i3-8350K/Rating/3935
CPU,,Intel,Xeon E3-1245 v6,154,81.6,562,https://cpu.userbenchmark.com/SpeedTest/299743/IntelR-XeonR-CPU-E3-1245-v6---370GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,155,81.6,5430,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80658i55675C,Intel,Core i5-5675C,156,81.5,945,https://cpu.userbenchmark.com/SpeedTest/31828/IntelR-CoreTM-i5-5675C-CPU---310GHz
CPU,,Intel,Core i9-10885H,157,81.2,6135,https://cpu.userbenchmark.com/SpeedTest/1174414/IntelR-CoreTM-i9-10885H-CPU---240GHz
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,158,81.1,10169,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,100-1000000050,AMD,Ryzen 5 3500,159,80.9,16466,https://cpu.userbenchmark.com/AMD-Ryzen-5-3500/Rating/4053
